case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,llm_raw_response,llm_parse_error,llm_api_error,model
aortic_stenosis_with_afib_and_chf,transitions/Cardiology/Aortic Stenosis with A Fib and CHF.json,p1,physiology_response,fluid_bolus,"[""BP_sys"", ""BP_dia"", ""HR"", ""O2Sat""]",1.0,0.5,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 60, ""BP_sys"": 80, ""HR"": 150, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""BP_dia"": 65, ""BP_sys"": 85, ""HR"": 145, ""O2Sat"": 96}","{""BP_dia"": 62, ""BP_sys"": 85, ""HR"": 145, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""vitals"":{""BP_dia"":62,""BP_sys"":85,""HR"":145,""O2Sat"":98,""RR"":20,""T"":null}}",,,gpt-5.5
aortic_stenosis_with_afib_and_chf,transitions/Cardiology/Aortic Stenosis with A Fib and CHF.json,p2,physiology_response,fluid_bolus,"[""BP_sys"", ""BP_dia"", ""HR"", ""O2Sat""]",0.25,1.6155494421403511,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": 60, ""BP_sys"": 80, ""HR"": 150, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""BP_dia"": 70, ""BP_sys"": 90, ""HR"": 140, ""O2Sat"": 90}","{""BP_dia"": 64, ""BP_sys"": 88, ""HR"": 145, ""O2Sat"": 97, ""RR"": 20, ""T"": null}","{""vitals"":{""BP_dia"":64,""BP_sys"":88,""HR"":145,""O2Sat"":97,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_stenosis_with_afib_and_chf,transitions/Cardiology/Aortic Stenosis with A Fib and CHF.json,p3,physiology_response,vasopressor,"[""BP_sys"", ""BP_dia"", ""HR""]",0.6666666666666666,1.224744871391589,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": false}","{""BP_dia"": 60, ""BP_sys"": 80, ""HR"": 150, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""BP_dia"": 75, ""BP_sys"": 100, ""HR"": 140}","{""BP_dia"": 70, ""BP_sys"": 95, ""HR"": 150, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""vitals"":{""BP_dia"":70,""BP_sys"":95,""HR"":150,""O2Sat"":98,""RR"":20,""T"":null}}",,,gpt-5.5
aortic_stenosis_with_afib_and_chf,transitions/Cardiology/Aortic Stenosis with A Fib and CHF.json,p4,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.3333333333333333,3.8897300677553446,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": true}","{""BP_dia"": 60, ""BP_sys"": 80, ""HR"": 150, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""BP_dia"": 75, ""BP_sys"": 100, ""HR"": 100}","{""BP_dia"": 58, ""BP_sys"": 82, ""HR"": 130, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""vitals"":{""BP_dia"":58,""BP_sys"":82,""HR"":130,""O2Sat"":98,""RR"":20,""T"":null}}",,,gpt-5.5
aortic_stenosis_with_afib_and_chf,transitions/Cardiology/Aortic Stenosis with A Fib and CHF.json,p5,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,2.1633307652783933,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 60, ""BP_sys"": 80, ""HR"": 150, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""BP_dia"": 60, ""BP_sys"": 70, ""HR"": 100}","{""BP_dia"": 52, ""BP_sys"": 72, ""HR"": 120, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""vitals"":{""BP_dia"":52,""BP_sys"":72,""HR"":120,""O2Sat"":98,""RR"":20,""T"":null}}",,,gpt-5.5
aortic_stenosis_with_afib_and_chf,transitions/Cardiology/Aortic Stenosis with A Fib and CHF.json,p6,physiology_response,synchronized_cardioversion,"[""HR"", ""BP_sys"", ""BP_dia""]",1.0,1.374772708486752,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 60, ""BP_sys"": 80, ""HR"": 150, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""BP_dia"": 80, ""BP_sys"": 100, ""HR"": 82}","{""BP_dia"": 70, ""BP_sys"": 105, ""HR"": 90, ""O2Sat"": 98, ""RR"": 20, ""T"": null}","{""vitals"":{""BP_dia"":70,""BP_sys"":105,""HR"":90,""O2Sat"":98,""RR"":20,""T"":null}}",,,gpt-5.5
aortic_stenosis_with_afib_and_chf,transitions/Cardiology/Aortic Stenosis with A Fib and CHF.json,p7,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",1.0,3.176476034853718,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": true, ""BP_sys"": true}","{""BP_dia"": 80, ""BP_sys"": 100, ""HR"": 90, ""O2Sat"": 90, ""RR"": 30, ""T"": null}","{""BP_dia"": 40, ""BP_sys"": 70}","{""BP_dia"": 68, ""BP_sys"": 85, ""HR"": 90, ""O2Sat"": 90, ""RR"": 30, ""T"": null}","{""vitals"":{""BP_dia"":68,""BP_sys"":85,""HR"":null,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
coarctation_of_the_aorta,transitions/Cardiology/Coarctation of the Aorta.json,p1,time_progression,no_action,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.2,8.63944442658207,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": true, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 40, ""BP_sys"": 80, ""HR"": 180, ""O2Sat"": 94, ""RR"": 50, ""T"": 36}","{""BP_dia"": 50, ""BP_sys"": 90, ""HR"": 190, ""O2Sat"": 97, ""RR"": 10}","{""BP_dia"": 38, ""BP_sys"": 76, ""HR"": 188, ""O2Sat"": 93, ""RR"": 52, ""T"": 36}","{""vitals"":{""BP_dia"":38,""BP_sys"":76,""HR"":188,""O2Sat"":93,""RR"":52,""T"":null}}",,,gpt-5.5
coarctation_of_the_aorta,transitions/Cardiology/Coarctation of the Aorta.json,p2,time_progression,no_action,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.4,6.034898507845845,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": true, ""BP_sys"": false, ""HR"": true, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 40, ""BP_sys"": 80, ""HR"": 180, ""O2Sat"": 94, ""RR"": 50, ""T"": 36}","{""BP_dia"": 35, ""BP_sys"": 65, ""HR"": 190, ""O2Sat"": 98, ""RR"": 25}","{""BP_dia"": 38, ""BP_sys"": 76, ""HR"": 188, ""O2Sat"": 92, ""RR"": 54, ""T"": 36}","{""vitals"":{""BP_dia"":38,""BP_sys"":76,""HR"":188,""O2Sat"":92,""RR"":54,""T"":null}}",,,gpt-5.5
coarctation_of_the_aorta,transitions/Cardiology/Coarctation of the Aorta.json,p3,physiology_response,fluid_bolus,"[""HR"", ""BP_sys"", ""BP_dia""]",0.3333333333333333,1.3152946437965904,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": 35, ""BP_sys"": 65, ""HR"": 190, ""O2Sat"": 98, ""RR"": 25}","{""BP_dia"": 40, ""BP_sys"": 58, ""HR"": 185}","{""BP_dia"": 38, ""BP_sys"": 70, ""HR"": 180, ""O2Sat"": 98, ""RR"": 25, ""T"": null}","{""vitals"":{""BP_dia"":38,""BP_sys"":70,""HR"":180,""O2Sat"":98,""RR"":25,""T"":null}}",,,gpt-5.5
coarctation_of_the_aorta,transitions/Cardiology/Coarctation of the Aorta.json,p4,physiology_response,fluid_bolus,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,0.41231056256176607,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": false}","{""BP_dia"": 40, ""BP_sys"": 58, ""HR"": 185, ""O2Sat"": 98, ""RR"": 25}","{""BP_dia"": 45, ""BP_sys"": 60, ""HR"": 180}","{""BP_dia"": 42, ""BP_sys"": 62, ""HR"": 178, ""O2Sat"": 98, ""RR"": 25, ""T"": null}","{""vitals"":{""BP_dia"":42,""BP_sys"":62,""HR"":178,""O2Sat"":98,""RR"":25,""T"":null}}",,,gpt-5.5
coarctation_of_the_aorta,transitions/Cardiology/Coarctation of the Aorta.json,p5,physiology_response,fluid_bolus,"[""HR"", ""BP_sys"", ""BP_dia""]",1.0,0.0,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 45, ""BP_sys"": 60, ""HR"": 180, ""O2Sat"": 98, ""RR"": 25}","{""BP_dia"": 48, ""BP_sys"": 65, ""HR"": 170}","{""BP_dia"": 48, ""BP_sys"": 65, ""HR"": 170, ""O2Sat"": 98, ""RR"": 25, ""T"": null}","{""vitals"":{""T"":null,""BP_dia"":48,""BP_sys"":65,""HR"":170,""O2Sat"":98,""RR"":25}}",,,gpt-5.5
coarctation_of_the_aorta,transitions/Cardiology/Coarctation of the Aorta.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.75,11.191067866830224,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 35, ""BP_sys"": 65, ""HR"": 190, ""O2Sat"": 98, ""RR"": 25}","{""BP_dia"": 20, ""BP_sys"": 40, ""HR"": 70, ""O2Sat"": 95}","{""BP_dia"": 30, ""BP_sys"": 58, ""HR"": 180, ""O2Sat"": 95, ""RR"": 25, ""T"": null}","{""vitals"":{""BP_dia"":30,""BP_sys"":58,""HR"":180,""O2Sat"":95,""RR"":null,""T"":null}}",,,gpt-5.5
coarctation_of_the_aorta,transitions/Cardiology/Coarctation of the Aorta.json,p7,physiology_response,prostaglandin_infusion,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.6,3.608323710533743,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": true, ""BP_sys"": false, ""HR"": false, ""O2Sat"": true, ""RR"": true}","{""BP_dia"": 35, ""BP_sys"": 65, ""HR"": 190, ""O2Sat"": 98, ""RR"": 25}","{""BP_dia"": 40, ""BP_sys"": 55, ""HR"": 170, ""O2Sat"": 90, ""RR"": 3}","{""BP_dia"": 32, ""BP_sys"": 62, ""HR"": 185, ""O2Sat"": 94, ""RR"": 18, ""T"": null}","{""vitals"":{""BP_dia"":32,""BP_sys"":62,""HR"":185,""O2Sat"":94,""RR"":18,""T"":null}}",,,gpt-5.5
coarctation_of_the_aorta,transitions/Cardiology/Coarctation of the Aorta.json,p8,time_progression,no_action,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.2,16.9413694841946,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 35, ""BP_sys"": 65, ""HR"": 190, ""O2Sat"": 98, ""RR"": 25}","{""BP_dia"": 20, ""BP_sys"": 40, ""HR"": 35, ""O2Sat"": 92, ""RR"": 8}","{""BP_dia"": 32, ""BP_sys"": 58, ""HR"": 198, ""O2Sat"": 96, ""RR"": 28, ""T"": null}","{""vitals"":{""BP_dia"":32,""BP_sys"":58,""HR"":198,""O2Sat"":96,""RR"":28,""T"":null}}",,,gpt-5.5
coarctation_of_the_aorta,transitions/Cardiology/Coarctation of the Aorta.json,p9,physiology_response,chronotropic_agent,"[""HR"", ""O2Sat""]",0.5,6.029925372672534,2,0,"{""HR"": false, ""O2Sat"": false}","{""HR"": true, ""O2Sat"": false}","{""BP_dia"": 20, ""BP_sys"": 40, ""HR"": 70, ""O2Sat"": 95}","{""HR"": 160, ""O2Sat"": 98}","{""BP_dia"": 20, ""BP_sys"": 40, ""HR"": 100, ""O2Sat"": 95, ""RR"": null, ""T"": null}","{""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":100,""O2Sat"":95,""RR"":null,""T"":null}}",,,gpt-5.5
coarctation_of_the_aorta,transitions/Cardiology/Coarctation of the Aorta.json,p10,time_progression,no_action,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.8,3.7749172176353745,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": true, ""O2Sat"": false, ""RR"": true}","{""BP_dia"": 20, ""BP_sys"": 40, ""HR"": 70, ""O2Sat"": 95, ""RR"": 25}","{""BP_dia"": 20, ""BP_sys"": 40, ""HR"": 35, ""O2Sat"": 92, ""RR"": 8}","{""BP_dia"": 20, ""BP_sys"": 40, ""HR"": 60, ""O2Sat"": 94, ""RR"": 22, ""T"": null}","{""vitals"":{""BP_dia"":18,""BP_sys"":36,""HR"":60,""O2Sat"":94,""RR"":22,""T"":null}}",,,gpt-5.5
dysrhythmia_secondary_to_hyperkalemia,transitions/Cardiology/Dysrhythmia Secondary to Hyperkalemia.json,p1,physiology_response,membrane_stabilization,"[""HR""]",1.0,1.2,1,0,"{""HR"": false}","{""HR"": true}","{""BP_dia"": 65, ""BP_sys"": 92, ""HR"": 50, ""O2Sat"": 97, ""RR"": 20, ""T"": 36.4}","{""HR"": 70}","{""BP_dia"": 65, ""BP_sys"": 92, ""HR"": 58, ""O2Sat"": 97, ""RR"": 20, ""T"": 36.4}","{""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":58,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
dysrhythmia_secondary_to_hyperkalemia,transitions/Cardiology/Dysrhythmia Secondary to Hyperkalemia.json,p2,physiology_response,fluid_bolus,"[""BP_sys"", ""BP_dia""]",0.5,0.7,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": true, ""BP_sys"": false}","{""BP_dia"": 65, ""BP_sys"": 92, ""HR"": 50, ""O2Sat"": 97, ""RR"": 20, ""T"": 36.4}","{""BP_dia"": 67, ""BP_sys"": 102}","{""BP_dia"": 67, ""BP_sys"": 95, ""HR"": 50, ""O2Sat"": 97, ""RR"": 20, ""T"": 36.4}","{""vitals"":{""BP_dia"":67,""BP_sys"":95,""HR"":null,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
dysrhythmia_secondary_to_hyperkalemia,transitions/Cardiology/Dysrhythmia Secondary to Hyperkalemia.json,p3,time_progression,no_action,"[""RR""]",0.0,4.4,1,0,"{""RR"": false}","{""RR"": false}","{""BP_dia"": 65, ""BP_sys"": 92, ""HR"": 50, ""O2Sat"": 97, ""RR"": 20, ""T"": 36.4}","{""RR"": 0}","{""BP_dia"": 65, ""BP_sys"": 92, ""HR"": 50, ""O2Sat"": 97, ""RR"": 22, ""T"": 36.4}","{""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":null,""RR"":22,""T"":null}}",,,gpt-5.5
