engine,model,shots,strategy,setting,direction_accuracy_mean,normalized_l2_mean,normalized_l2_median,num_api_errors,num_parse_errors,num_pairs,output_dir
hybrid,gpt-5.5,0,-,0shot,1.0,0.6,0.4,,,3,out/transitions_reviewed_gpt_smoke/hybrid/gpt-5.5/0shot
hybrid,gpt-5.5,3,static,3shot-static,1.0,0.6,0.4,,,3,out/transitions_reviewed_gpt_smoke/hybrid/gpt-5.5/3shot-static
hybrid,gpt-5.5,3,kind_hint_matched,3shot-kind_hint_matched,1.0,0.6,0.4,,,3,out/transitions_reviewed_gpt_smoke/hybrid/gpt-5.5/3shot-kind_hint_matched
pure_llm,gpt-4o-mini,0,-,0shot,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-4o-mini/0shot
pure_llm,gpt-4o-mini,3,static,3shot-static,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-4o-mini/3shot-static
pure_llm,gpt-4o-mini,3,kind_hint_matched,3shot-kind_hint_matched,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-4o-mini/3shot-kind_hint_matched
pure_llm,gpt-4o,0,-,0shot,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-4o/0shot
pure_llm,gpt-4o,3,static,3shot-static,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-4o/3shot-static
pure_llm,gpt-4o,3,kind_hint_matched,3shot-kind_hint_matched,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-4o/3shot-kind_hint_matched
pure_llm,gpt-4.1,0,-,0shot,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-4.1/0shot
pure_llm,gpt-4.1,3,static,3shot-static,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-4.1/3shot-static
pure_llm,gpt-4.1,3,kind_hint_matched,3shot-kind_hint_matched,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-4.1/3shot-kind_hint_matched
pure_llm,gpt-5,0,-,0shot,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-5/0shot
pure_llm,gpt-5,3,static,3shot-static,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-5/3shot-static
pure_llm,gpt-5,3,kind_hint_matched,3shot-kind_hint_matched,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-5/3shot-kind_hint_matched
pure_llm,gpt-5.5,0,-,0shot,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-5.5/0shot
pure_llm,gpt-5.5,3,static,3shot-static,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-5.5/3shot-static
pure_llm,gpt-5.5,3,kind_hint_matched,3shot-kind_hint_matched,0.3333333333333333,1.4293537672607035,1.6,3,0,3,out/transitions_reviewed_gpt_smoke/pure_llm/gpt-5.5/3shot-kind_hint_matched
